dBreed,dLat,dLon
Affenpinscher,46.227638,2.213749
Affenpinscher,51.165691,10.451526
Afghan Hound,33.93911,67.709953
Airedale Terrier,55.378051,-3.435973
Akita,36.204824,138.252924
Alaskan Malamute,37.09024,-95.712891
Alpine Dachsbracke,47.516231,14.550072
American Akita,37.09024,-95.712891
American Cocker Spaniel,37.09024,-95.712891
American Foxhound,37.09024,-95.712891
American Staffordshire Terrier,37.09024,-95.712891
American Water Spaniel,37.09024,-95.712891
Anatolian Shepherd Dog,38.963745,35.243322
Andalusian Hound,40.463667,-3.74922
Anglo-Français de Petite Vénerie,46.227638,2.213749
Appenzeller Sennenhund,46.818188,8.227512
Argentine Polar Dog,-38.416097,-63.616672
Ariegeois,46.227638,2.213749
Armant,26.820553,30.802498
Armenian Gampr dog,40.069099,45.038189
Artois Hound,46.227638,2.213749
Australian Cattle Dog,-25.274398,133.775136
Australian Kelpie,-25.274398,133.775136
Australian Shepherd,37.09024,-95.712891
Australian Stumpy Tail Cattle ,-25.274398,133.775136
Australian Terrier,-25.274398,133.775136
Austrian Black and Tan Hound,47.516231,14.550072
Austrian Pinscher,47.516231,14.550072
Azawakh,17.570692,-3.996166
Bakharwal dog,20.593684,78.96288
Barbado da Terceira ,39.399872,-8.224454
Barbet,46.227638,2.213749
Basenji,-0.228021,15.827659
Basque Shepherd Dog,40.463667,-3.74922
Basset Artésien Normand,46.227638,2.213749
Basset Bleu de Gascogne,46.227638,2.213749
Basset Fauve de Bretagne,46.227638,2.213749
Basset Hound,46.227638,2.213749
Bavarian Mountain Hound,51.165691,10.451526
Beagle,55.378051,-3.435973
Beagle-Harrier,46.227638,2.213749
Bearded Collie,57.167212,-4.301964
Beauceron,46.227638,2.213749
Bedlington Terrier,55.378051,-3.435973
Belgian Shepherd Dog (Groenendael),50.503887,4.469936
Belgian Shepherd Dog (Laekenois),50.503887,4.469936
Belgian Shepherd Dog (Malinois),50.503887,4.469936
Belgian Shepherd Dog (Tervuren),50.503887,4.469936
Bergamasco Shepherd,41.87194,12.56738
Berger Blanc Suisse,46.818188,8.227512
Berger Picard,46.227638,2.213749
Bernese Mountain Dog,46.818188,8.227512
Bichon Frisé,40.463667,-3.74922
Billy,46.227638,2.213749
Black and Tan Coonhound,37.09024,-95.712891
Black and Tan Virginia Foxhound,37.09024,-95.712891
Black Mouth Cur,37.09024,-95.712891
Black Norwegian Elkhound,60.472024,8.468946
Black Russian Terrier,61.52401,105.318756
Bloodhound,50.503887,4.469936
Bloodhound,46.227638,2.213749
Blue Heeler,-25.274398,133.775136
Blue Lacy,37.09024,-95.712891
Blue Paul Terrier,57.167212,-4.301964
Blue Picardy Spaniel,46.227638,2.213749
Bluetick Coonhound,37.09024,-95.712891
Boerboel,-30.559482,22.937506
Bohemian Shepherd,49.817492,15.472962
Bolognese,41.87194,12.56738
Border Collie,55.378051,-3.435973
Border Terrier,55.378051,-3.435973
Borzoi,61.52401,105.318756
Bosnian Coarse-haired Hound,43.915886,17.679076
Boston Terrier,37.09024,-95.712891
Bouvier des Ardennes,50.503887,4.469936
Bouvier des Flandres,50.503887,4.469936
Boxer,51.165691,10.451526
Boykin Spaniel,37.09024,-95.712891
Bracco Italiano,41.87194,12.56738
Braque d'Auvergne,46.227638,2.213749
Braque de l'Ariege,46.227638,2.213749
Braque du Bourbonnais,46.227638,2.213749
Braque du Puy,46.227638,2.213749
Braque Francais,46.227638,2.213749
Braque Saint-Germain,46.227638,2.213749
Brazilian Dogo,-14.235004,-51.92528
Brazilian Terrier,-14.235004,-51.92528
Briard,46.227638,2.213749
Briquet Griffon Vendéen,46.227638,2.213749
Brittany,46.227638,2.213749
Broholmer,56.26392,9.501785
Bruno Jura Hound,46.227638,2.213749
Bruno Jura Hound,46.818188,8.227512
Brussels Griffon,50.503887,4.469936
Bucovina Shepherd Dog,45.943161,24.96676
Bull Terrier,55.378051,-3.435973
Bulldog,55.378051,-3.435973
Bullenbeisser,51.165691,10.451526
Bullmastiff,55.378051,-3.435973
Bully Kutta,20.593684,78.96288
Bully Kutta,30.375321,69.345116
Burgos Pointer,40.463667,-3.74922
Cairn Terrier,57.167212,-4.301964
Canadian Eskimo Dog,56.130366,-106.346771
Cane Corso,41.87194,12.56738
Cantabrian Water Dog,40.463667,-3.74922
Cão da Serra de Aires,39.399872,-8.224454
Cão de Castro Laboreiro,39.399872,-8.224454
Cão de Gado Transmontano,39.399872,-8.224454
Cão Fila de São Miguel,39.399872,-8.224454
Carolina Dog,37.09024,-95.712891
Carpathian Shepherd Dog,45.943161,24.96676
Catalan Sheepdog,40.463667,-3.74922
Caucasian Shepherd Dog,42.315407,43.356892
Cavalier King Charles Spaniel,55.378051,-3.435973
Central Asian Shepherd Dog,61.52401,105.318756
Cesky Fousek,49.817492,15.472962
Cesky Terrier,49.817492,15.472962
Chesapeake Bay Retriever,37.09024,-95.712891
Chien Français Blanc et Noir,46.227638,2.213749
Chien Français Blanc et Orange,46.227638,2.213749
Chien Français Tricolore,46.227638,2.213749
Chien-gris,46.227638,2.213749
Chihuahua,23.634501,-102.552784
Chilean Terrier,-35.675147,-71.542969
Chinese Chongqing Dog,35.86166,104.195397
Chinese Crested Dog,13.575425,-85.820149
Chinese Imperial Dog,35.86166,104.195397
Chinook,37.09024,-95.712891
Chippiparai,20.593684,78.96288
Chiribaya Dog,-9.189967,-75.015152
Chow Chow,35.86166,104.195397
Cierny Sery,48.669026,19.699024
Cimarrón Uruguayo,-32.522779,-55.765835
Cirneco dell'Etna,41.87194,12.56738
Clumber Spaniel,55.378051,-3.435973
Collie,57.167212,-4.301964
Combai,20.593684,78.96288
Cordoba Fighting Dog,-38.416097,-63.616672
Coton de Tulear,-18.766947,46.869107
Cretan Hound,39.074208,21.824312
Croatian Sheepdog,45.1,15.2
Cumberland Sheepdog,55.378051,-3.435973
Curly-Coated Retriever,55.378051,-3.435973
Cursinu,46.227638,2.213749
Czechoslovakian Wolfdog,49.817492,15.472962
Dachshund,51.165691,10.451526
Dalbo dog,60.128161,18.643501
Dalmatian,45.1,15.2
Dandie Dinmont Terrier,57.167212,-4.301964
Danish-Swedish Farmdog,56.26392,9.501785
Danish-Swedish Farmdog,60.128161,18.643501
Deutsche Bracke,51.165691,10.451526
