Breed,originationLocation,originationTime
Affenpinscher,Germany,
Afghan Hound,Afghanistan,basal
Airedale Terrier,England,
Akita,Japan,basal
Alaskan Malamute,United States,basal
Alpine Dachsbracke,Austria,
American Akita,United States,
American Cocker Spaniel,United States,
American Foxhound,United States,
American Staffordshire Terrier,United States,
American Water Spaniel,United States,
Anatolian Shepherd Dog,Turkey,
Andalusian Hound,Spain,
Anglo-Français de Petite Vénerie,France,
Appenzeller Sennenhund,Switzerland,
Argentine Polar Dog,Argentina ,
Ariegeois,France,
Armant,Egypt,
Armenian Gampr dog,Armenia,
Artois Hound,France,
Australian Cattle Dog,Australia,
Australian Kelpie,Australia,
Australian Shepherd,United States,
Australian Stumpy Tail Cattle Dog[10],Australia,
Australian Terrier,Australia,
Austrian Black and Tan Hound,Austria,
Austrian Pinscher,Austria,
Azawakh,Mali,
Bakharwal dog,India,
Barbado da Terceira ,Portugal ,
Barbet,France,
Basenji,Democratic Republic of the Congo,
Basque Shepherd Dog,Spain,
Basset Artésien Normand,France,
Basset Bleu de Gascogne,France,
Basset Fauve de Bretagne,France,
Basset Hound,France,
Bavarian Mountain Hound,Germany,
Beagle,England,
Beagle-Harrier,France,
Bearded Collie,Scotland,
Beauceron,France,
Bedlington Terrier,England,
Belgian Shepherd Dog (Groenendael),Belgium,
Belgian Shepherd Dog (Laekenois),Belgium,
Belgian Shepherd Dog (Malinois),Belgium,
Belgian Shepherd Dog (Tervuren),Belgium,
Bergamasco Shepherd,Italy,
Berger Blanc Suisse,Switzerland,
Berger Picard,France,
Bernese Mountain Dog,Switzerland,
Bichon Frisé,Spain,
Billy,France,
Black and Tan Coonhound,United States,
Black and Tan Virginia Foxhound,United States,
Black Norwegian Elkhound,Norway,
Black Russian Terrier,Russia,
Black Mouth Cur,United States,
Bloodhound,"Belgium, France",
Blue Heeler,Australia,
Blue Lacy,United States,
Blue Paul Terrier,Scotland,
Blue Picardy Spaniel,France,
Bluetick Coonhound,United States,
Boerboel,South Africa,
Bohemian Shepherd,Czech Republic,
Bolognese,Italy,
Border Collie,Scotland,
Border Terrier,Scotland,
Borzoi,Russia,
Bosnian Coarse-haired Hound,Bosnia and Herzegovina,
Boston Terrier,United States,
Bouvier des Ardennes,Belgium,
Bouvier des Flandres,Belgium,
Boxer,Germany,
Boykin Spaniel,United States,
Bracco Italiano,Italy,
Braque d'Auvergne,France,
Braque de l'Ariege,France,
Braque du Bourbonnais,France,
Braque du Puy,France,
Braque Francais,France,
Braque Saint-Germain,France,
Brazilian Dogo,Brazil,
Brazilian Terrier,Brazil,
Briard,France,
Briquet Griffon Vendéen,France,
Brittany,France,
Broholmer,Denmark,
Bruno Jura Hound,"Switzerland, France",
Brussels Griffon,Belgium,
Bucovina Shepherd Dog,Romania,
Bull Terrier,England,
Bulldog,England,
Bullenbeisser,Germany,
Bullmastiff,England,
Bully Kutta,"Pakistan, India",
Burgos Pointer,Spain,
Cairn Terrier,Scotland,
Canaan Dog,Middle East,basal
Canadian Eskimo Dog,Canada,
Cane Corso,Italy,
Cantabrian Water Dog,Spain,
Cão da Serra de Aires,Portugal,
Cão de Castro Laboreiro,Portugal,
Cão de Gado Transmontano,Portugal,
Cão Fila de São Miguel,Portugal,
Carolina Dog,United States,
Carpathian Shepherd Dog,Romania,
Catalan Sheepdog,Spain,
Caucasian Shepherd Dog,Georgia,
Cavalier King Charles Spaniel,England,
Central Asian Shepherd Dog,Russia,
Cesky Fousek,Czech Republic,
Cesky Terrier,Czech Republic,
Chesapeake Bay Retriever,United States,
Chien Français Blanc et Noir,France,
Chien Français Blanc et Orange,France,
Chien Français Tricolore,France,
Chien-gris,France,
Chihuahua,Mexico,
Chilean Terrier,Chile,
Chinese Chongqing Dog,China,
Chinese Crested Dog,Central America,
Chinese Imperial Dog,China,
Chinook,United States,
Chippiparai,India,
Chiribaya Dog,Peru ,
Chow Chow,China,basal
Cierny Sery,Slovakia,
Cirneco dell'Etna,Italy,
Clumber Spaniel,England,
"Collie, Rough",Scotland,
"Collie, Smooth",Scotland,
Combai,India,
Cordoba Fighting Dog,Argentina,
Coton de Tulear,Madagascar,
Cretan Hound,Greece,
Croatian Sheepdog,Croatia,
Cumberland Sheepdog,England,
Curly-Coated Retriever,England,
Cursinu,France,
Czechoslovakian Wolfdog,Czech Republic,
Dachshund,Germany,
Dalbo dog,Sweden ,
Dalmatian,Croatia,
Dandie Dinmont Terrier,Scotland,
Danish-Swedish Farmdog,Denmark,
Deutsche Bracke,Germany,
Doberman Pinscher,Germany,
Dogo Argentino,Argentina,
Dogo Cubano,Cuba,
Dogue de Bordeaux,France,
Drentse Patrijshond,Netherlands,
Drever,Sweden,
Dunker,Norway,
Dutch Shepherd,Netherlands,
Dutch Smoushond,Netherlands,
East Siberian Laika,Russia,
East European Shepherd,Russia,
Elo,Germany,
English Cocker Spaniel,England,
English Foxhound,England,
English Mastiff,England,
English Pointer,England,
English Setter,England,
English Shepherd,England,
English Springer Spaniel,England,
English Toy Terrier (Black & Tan),England,
English Water Spaniel,England,
English White Terrier,England,
Entlebucher Mountain Dog,Switzerland,
Estonian Hound,Estonia,
Estrela Mountain Dog,Portugal,
Eurasier,Germany,
Eurohound,Scandinavia,
Field Spaniel,England,
Fila Brasileiro,Brazil,
Finnish Hound,Finland,
Finnish Lapphund,Finland,
Finnish Spitz,Finland,basal
Flat-Coated Retriever,England,
"Fox Terrier, Smooth",England,
"Fox Terrier, Wire",England,
French Brittany,France,
French Bulldog,France,
French Spaniel,France,
Gaddi Kutta,India,
Galgo Español,Spain,
Galician Shepherd Dog,Spain,
Garafian Shepherd,Spain,
Gascon Saintongeois,France,
Georgian Shepherd,Georgia,
German Longhaired Pointer,Germany,
German Pinscher,Germany,
German Roughhaired Pointer,Germany,
German Shepherd Dog,Germany,
German Shorthaired Pointer,Germany,
German Spaniel,Germany,
German Spitz,Germany,
German Wirehaired Pointer,Germany,
Giant Schnauzer,Germany,
Glen of Imaal Terrier,Ireland,
Golden Retriever,Scotland,
Gordon Setter,Scotland,
Gran Mastín de Borínquen,Puerto Rico,
Grand Anglo-Français Blanc et Noir,France,
Grand Anglo-Français Blanc et Orange,France,
Grand Anglo-Français Tricolore,France,
Grand Basset Griffon Vendéen,France,
Grand Bleu de Gascogne,France,
Grand Griffon Vendéen,France,
Great Dane,Germany,
Great Pyrenees,"France, Spain",
Greater Swiss Mountain Dog,Switzerland,
Greek Harehound,Greece,
Greek Shepherd ,Greece ,
Greenland Dog,Greenland,
Greyhound,England,
Griffon Bleu de Gascogne,France,
Griffon Fauve de Bretagne,France,
Griffon Nivernais,France,
Guatemalan Dogo,Guatemala,
Gull Terrier,"India, Pakistan",
Hamiltonstövare,Sweden,
Hanover Hound,Germany,
Hare Indian Dog,Canada,
Harrier,England,
Havanese,Cuba,
Hawaiian Poi Dog,United States,
Himalayan Sheepdog,Nepal,
Hokkaido,Japan,
Hortaya borzaya,Ukraine,
Hovawart,Germany,
Huntaway,New Zealand,
Hygen Hound,Norway,
Ibizan Hound,Spain,
Icelandic Sheepdog,Iceland,
Indian pariah dog,India,
Indian Spitz,India,
Irish Red and White Setter,Ireland,
Irish Setter,Ireland,
Irish Terrier,Ireland,
Irish Water Spaniel,Ireland,
Irish Wolfhound,Ireland,
Istrian Coarse-haired Hound,Croatia,
Istrian Short-haired Hound,Croatia,
Italian Greyhound,Italy,
Jack Russell Terrier,England,
Jagdterrier,Germany,
Swedish Elkhound,Sweden,
Japanese Chin,Japan,
Japanese Spitz,Japan,
Japanese Terrier,Japan,
Jindo,South Korea,
Jonangi,India,
Kaikadi dog,India,
Kai Ken,Japan,
Kangal Shepherd Dog,Turkey,
Kanni,India,
Karakachan dog,Bulgaria,
Karelian Bear Dog,Finland,
Karst Shepherd,Slovenia,
Keeshond,Netherlands,
Kerry Beagle,Ireland,
Kerry Blue Terrier,Ireland,
King Charles Spaniel,England,
King Shepherd,United States,
Kintamani,Indonesia,
Kishu Ken,Japan,
Komondor,Hungary,
Koolie,Australia,
Koyun dog,Turkey,
Kromfohrländer,Germany,
Kumaon Mastiff,India,
Kunming Wolfdog,China,
Kur?,New Zealand,
Kuvasz,Hungary,
Kyi-Leo,United States,
Labrador Husky,Canada,
Labrador Retriever,"Canada, England",
Lagotto Romagnolo,Italy,
Lakeland Terrier,England,
Lancashire Heeler,England,
Landseer,Canada,
Lapponian Herder,Finland,
Lapponian Shepherd,Finland ,
Leonberger,Germany,
Lhasa Apso,Tibet,
Lithuanian Hound,Lithuania,
Louisiana Catahoula Leopard Dog,United States,
Löwchen,Germany,
Mackenzie River husky,Canada,
Magyar agár,Hungary,
Mahratta Greyhound,India,
Maltese,Italy,
Manchester Terrier,England,
Maremma Sheepdog,Italy,
Marquesan Dog,French Polynesia,
McNab dog,United States,
Miniature American Shepherd,United States,
Miniature Bull Terrier,England,
Miniature Fox Terrier,Australia,
Miniature Pinscher,Germany,
Miniature Schnauzer,Germany,
Miniature Shar Pei,China,
Molossus,Greece,
Molossus of Epirus,Greece,
Montenegrin Mountain Hound,Montenegro,
Moscow Watchdog,Russia,
Moscow Water Dog,Russia,
Mountain Cur,United States,
Mucuchies,Venezuela,
Mudhol Hound,India,
Mudi,Hungary,
"Münsterländer, Large",Germany,
"Münsterländer, Small",Germany,
Neapolitan Mastiff,Italy,
Nederlandse Kooikerhondje,Netherlands,
Newfoundland,Canada,
New Zealand Heading Dog,New Zealand,
Norfolk Spaniel,England,
Norfolk Terrier,England,
Norrbottenspets,Sweden,
North Country Beagle,England,
Northern Inuit Dog,England,
Norwegian Buhund,Norway,
Norwegian Elkhound,Norway,
Norwegian Lundehund,Norway,
Norwich Terrier,England,
Nova Scotia Duck Tolling Retriever,Canada,
Old Croatian Sighthound,Croatia,
Old Danish Pointer,Denmark,
Old English Bulldog,England,
Old English Sheepdog,England,
Old English Terrier,England,
Old German Shepherd Dog,Germany,
Old Spanish Pointer,Spain,
Old Time Farm Shepherd,United States,
Olde English Bulldogge,United States,
Otterhound,England,
Pachon Navarro,Spain,
Pandikona,India,
Paisley Terrier,Scotland,
Papillon,"Spain, Belgium, France",
Parson Russell Terrier,England,
Pastore della Lessinia e del Lagorai,Italy,
Patterdale Terrier,England,
Pekingese,China,
Perro de Pastor Mallorquin,Spain,
Perro de Presa Canario,Spain,
Perro de Presa Mallorquin,Spain,
Peruvian Inca Orchid,Peru,
Petit Basset Griffon Vendéen,France,
Petit Bleu de Gascogne,France,
Phalène,"Belgium, Spain",
Pharaoh Hound,Malta,
Phu Quoc Ridgeback,Vietnam,
Picardy Spaniel,France,
Plummer Terrier,United Kingdom,
Plott Hound,United States,
Podenco Canario,Spain,
Poitevin,France,
Polish Greyhound,Poland,
Polish Hound,Poland,
Polish Hunting Dog,Poland,
Polish Lowland Sheepdog,Poland,
Polish Tatra Sheepdog,Poland,
Pomeranian,"Germany, Poland",
Pont-Audemer Spaniel,France,
Poodle,"Germany, France",
Porcelaine,France,
Portuguese Podengo,Portugal,
Portuguese Pointer,Portugal,
Portuguese Water Dog,Portugal,
Posavac Hound,Croatia,
Potsdam Greyhound,Italy,
Praský Krysa?ík,Czech Republic,
Pudelpointer,Germany,
Pug,China,
Puli,Hungary,
Pumi,Hungary,
Pungsan dog,North Korea,
Pyrenean Mastiff,Spain,
Pyrenean Shepherd,France,
Rafeiro do Alentejo,Portugal,
Rajapalayam,India,
Rampur Greyhound,India,
Rastreador Brasileiro,Brazil,
Rat Terrier,United States,
Ratonero Bodeguero Andaluz,Spain,
Ratonero Mallorquin,Spain,
Ratonero Murciano de Huerta,Spain,
Ratonero Valenciano,Spain,
Redbone Coonhound,United States,
Rhodesian Ridgeback,Zimbabwe,
Romanian Mioritic Shepherd Dog,Romania,
Romanian Raven Shepherd Dog ,Romania ,
Rottweiler,Germany,
Russian Salon Dog,Russia,
Russian Spaniel,Russia,
Russian Toy,Russia,
Russian Tracker,Russia,
Russo-European Laika,Russia,
Russell Terrier,England,
Saarloos Wolfdog,Netherlands,
Sabueso Español,Spain,
Sabueso fino Colombiano,Colombia,
Saint Bernard,Switzerland,
Saint John's water dog,Canada,
Saint-Usuge Spaniel,France,
